"id","product_full_name","product_fabric_icon_1","slug_fabric_icon_1","product_fabric_icon_2","slug_fabric_icon_2","product_fabric_icon_3","slug_fabric_icon_3","product_fabric_icon_4","slug_fabric_icon_4","product_fabric_icon_5","slug_fabric_icon_5","show_on_category_page","popular","is_new","available_for_delivery_2","available_for_delivery_28","available_in_showroom","product_img","description","price","closeup","width","depth","height","pdf","product_inside","product_inside_pillow","carcas_type","paws_type","mechanism_type","sleep_place","linen_drawer","scheme_id","features","created","updated","product_slug","category_id","collection_id","fabric_name_id","popover_id","slider_interior_id","carousel_item_1","carousel_item_2","carousel_item_3","carousel_item_4","carousel_item_5","carousel_item_mob_1","carousel_item_mob_2","carousel_item_mob_3","carousel_item_mob_4","carousel_item_mob_5","price_old","popover_img","carousel_item_6","carousel_item_mob_6","product_img_mob","show_fabric_icons","d3","id;product_full_name;product_fabric_icon_1;slug_fabric_icon_1;p"
38,Модульная система Consono,fabric_icons/CORSO_08.png,corso-08,fabric_icons/KILIAN_01.png,kilian-01,fabric_icons/PIXEL_FOREST.png,pixel-forest,fabric_icons/TEDDY_955.png,teddy-955,fabric_icons/VELUTTO_04.png,velutto-04,true,false,true,true,true,true,images/CONSONO_MOD_1_VELUTTO_04_GOODS_01.png,"Consono  — модульная система, представляющая собой идеальное сочетание комфорта, стиля и функциональности.
Одним из  главных преимуществ является использование пух-перо в качестве наполнителя подушек, что создает максимальную мягкость и удобство для отдыха.

В составе дивана применяется инновационный материал  Elax, который обладает высокой эластичностью. Благодаря этому материалу диван Consono не только комфортен, но и обладает долговечностью, сохраняя свою форму и внешний вид долгие годы.

Высокие, литые, металлические опоры придают изделию особую легкость и элегантность, создают современный и стильный вид, позволяют  использовать робот-пылесос.

Механизмы трансформации спинки позволяют каждому пользователю настроить диван под свои индивидуальные предпочтения.",234652,closeups/CONSONO_CORNER_ST_LEFT_VELUTTO_04_CLOSEUP.jpg,283,72,84,pdf/CONSONO.pdf,Инновационная пена Elax,Пух-перо,Фанера,Сталь,нет,нет,нет,2,"Изменяемая глубина посадки, ортопедические свойства",2024-01-24 00:22:49.000 +0300,2024-04-04 07:10:08.183 +0300,consono-mod1-velutto-04,5,1,9,2,2,carousel/CONSONO_MOD_1_VELUTTO_04_CARD_01.jpg,carousel/CONSONO_MOD_1_VELUTTO_04_CARD_02.jpg,carousel/CONSONO_MOD_1_VELUTTO_04_CARD_03.jpg,carousel/CONSONO_MOD_1_VELUTTO_04_CARD_04.jpg,carousel/CONSONO_MOD_1_VELUTTO_04_CARD_05.jpg,carousel/CONSONO_MOD_1_VELUTTO_04_CARD_MOB_01.jpg,carousel/CONSONO_MOD_1_VELUTTO_04_CARD_MOB_02.jpg,carousel/CONSONO_MOD_1_VELUTTO_04_CARD_MOB_03.jpg,carousel/CONSONO_MOD_1_VELUTTO_04_CARD_MOB_04.jpg,carousel/CONSONO_MOD_1_VELUTTO_04_CARD_MOB_05.jpg,,popovers/CONSONO_ARM_PIXEL_FOREST_2_mob.jpg,"","",images/CONSONO_MOD_1_VELUTTO_04_GOODS_02.png,true,"3d/CONSONO_MOD_1_MAX2018.zip",
115,Угловой диван Marselle,fabric_icons/CORSO_08.png,corso-08,fabric_icons/JAZZ_01.png,jazz-01,fabric_icons/KILIAN_01.png,kilian-01,fabric_icons/TEDDY_917.png,teddy-917,fabric_icons/VELUTTO_16.png,velutto-16,true,true,true,true,true,true,images/MARSELLE_CORNER_L_3M_ST_CORS0_08_GOODS_01.png,Угловой диван Marselle станет стильным акцентом в интерьере,300000,closeups/MARSELLE_CORNER_L_3M_ST_CORS0_08_CLOSEUP.png,140,90,90,"",Инновационная пена Elax,Пух-перо,Фанера,Сталь,нет,нет,нет,1,Ортопедические свойства,2024-03-20 01:26:18.854 +0300,2024-04-04 12:58:19.505 +0300,marselle-cornerl-corso-08,3,12,8,2,2,carousel/MARSELLE_CORNER_L_3M_ST_CORS0_08_CARD_01.jpg,carousel/MARSELLE_CORNER_L_3M_ST_CORS0_08_CARD_02.jpg,carousel/MARSELLE_CORNER_L_3M_ST_CORS0_08_CARD_03.jpg,carousel/MARSELLE_CORNER_L_3M_ST_CORS0_08_CARD_04.jpg,carousel/MARSELLE_CORNER_L_3M_ST_CORS0_08_CARD_05.jpg,carousel/MARSELLE_CORNER_L_3M_ST_CORS0_08_CARD_MOB_01.jpg,carousel/MARSELLE_CORNER_L_3M_ST_CORS0_08_CARD_MOB_02.jpg,carousel/MARSELLE_CORNER_L_3M_ST_CORS0_08_CARD_MOB_03.jpg,carousel/MARSELLE_CORNER_L_3M_ST_CORS0_08_CARD_MOB_04.jpg,"",,carousel/MARSELLE_CORNER_L_3M_ST_CORS0_08_CARD_02.jpg,"","",images/MARSELLE_CORNER_L_3M_ST_CORS0_08_GOODS_01.png,true,"",
37,Модульная система Consono,fabric_icons/CORSO_08.png,corso-08,fabric_icons/KILIAN_01.png,kilian-01,fabric_icons/PIXEL_FOREST.png,pixel-forest,fabric_icons/TEDDY_955.png,teddy-955,fabric_icons/VELUTTO_04.png,velutto-04,true,true,true,true,true,true,images/CONSONO_MOD_1_TEDDY_955_GOODS_01.png,"Consono  — модульная система, представляющая собой идеальное сочетание комфорта, стиля и функциональности.
Одним из  главных преимуществ является использование пух-перо в качестве наполнителя подушек, что создает максимальную мягкость и удобство для отдыха.

В составе дивана применяется инновационный материал  Elax, который обладает высокой эластичностью. Благодаря этому материалу диван Consono не только комфортен, но и обладает долговечностью, сохраняя свою форму и внешний вид долгие годы.

Высокие, литые, металлические опоры придают изделию особую легкость и элегантность, создают современный и стильный вид, позволяют  использовать робот-пылесос.

Механизмы трансформации спинки позволяют каждому пользователю настроить диван под свои индивидуальные предпочтения.",234652,closeups/CONSONO_CORNER_ST_LEFT_TEDDY_955_CLOSEUP.jpg,283,72,84,pdf/CONSONO.pdf,Инновационная пена Elax,Пух-перо,Фанера,Сталь,нет,нет,нет,2,"Изменяемая глубина посадки, ортопедические свойства",2024-01-24 00:22:49.000 +0300,2024-04-04 07:10:17.085 +0300,consono-mod1-teddy-955,5,1,6,2,2,carousel/CONSONO_MOD_1_TEDDY_955_CARD_01.jpg,carousel/CONSONO_MOD_1_TEDDY_955_CARD_02.jpg,carousel/CONSONO_MOD_1_TEDDY_955_CARD_03.jpg,carousel/CONSONO_MOD_1_TEDDY_955_CARD_04.jpg,carousel/CONSONO_MOD_1_TEDDY_955_CARD_05.jpg,carousel/CONSONO_MOD_1_TEDDY_955_CARD_MOB_01.jpg,carousel/CONSONO_MOD_1_TEDDY_955_CARD_MOB_02.jpg,carousel/CONSONO_MOD_1_TEDDY_955_CARD_MOB_03.jpg,carousel/CONSONO_MOD_1_TEDDY_955_CARD_MOB_04.jpg,carousel/CONSONO_MOD_1_TEDDY_955_CARD_MOB_05.jpg,,popovers/CONSONO_ARM_JAZZ_01_2_mob.jpg,"","",images/CONSONO_MOD_1_TEDDY_955_GOODS_02.png,true,"3d/CONSONO_MOD_1_MAX2018.zip",
129,Угловой диван Modifica,fabric_icons/CORSO_08.png,corso-08,fabric_icons/JAZZ_01.png,jazz-01,fabric_icons/KILIAN_01.png,kilian-01,fabric_icons/TEDDY_917.png,teddy-917,fabric_icons/VELUTTO_16.png,velutto-16,true,true,true,true,true,true,images/MODIFICA_CORNER_R_VELUTTO_16_GOODS_01.png,Уютный диван,300000,closeups/MODIFICA_CORNER_R_VELUTTO_16_CLOSEUP.png,140,90,90,"",Инновационная пена Elax,Пух-перо,Фанера,Сталь,нет,нет,нет,1,Ортопедические свойства,2024-03-20 01:26:18.854 +0300,2024-04-04 12:57:52.122 +0300,modifica-corner_r-velutto-16,16,9,11,2,2,carousel/MODIFICA_CORNER_R_3M_ST_VELUTTO_16_CARD_01.jpg,carousel/MODIFICA_CORNER_R_3M_ST_VELUTTO_16_CARD_02.jpg,carousel/MODIFICA_CORNER_R_3M_ST_VELUTTO_16_CARD_03.jpg,carousel/MODIFICA_CORNER_R_3M_ST_VELUTTO_16_CARD_04.jpg,carousel/MODIFICA_CORNER_R_3M_ST_VELUTTO_16_CARD_05.jpg,carousel/MODIFICA_CORNER_R_3M_ST_VELUTTO_16_CARD_MOB_01.jpg,carousel/MODIFICA_CORNER_L_3M_ST_VELUTTO_16_CARD_MOB_02.jpg,carousel/MODIFICA_CORNER_R_3M_ST_VELUTTO_16_CARD_MOB_03.jpg,carousel/MODIFICA_CORNER_R_3M_ST_VELUTTO_16_CARD_MOB_04.jpg,"",,carousel/MODIFICA_CORNER_R_3M_ST_VELUTTO_16_CARD_02.jpg,"","",images/MODIFICA_CORNER_R_VELUTTO_16_GOODS_01.png,true,"",
116,Угловой диван Marselle,fabric_icons/CORSO_08.png,corso-08,fabric_icons/JAZZ_01.png,jazz-01,fabric_icons/KILIAN_01.png,kilian-01,fabric_icons/TEDDY_917.png,teddy-917,fabric_icons/VELUTTO_32.png,velutto-32,true,true,true,true,true,true,images/MARSELLE_CORNER_L_3M_ST_VELUTTO_32_GOODS_01.png,Угловой диван Marselle станет стильным акцентом в интерьере,300000,closeups/MARSELLE_CORNER_L_3M_ST_JAZZ_01_CLOSEUP.png,140,90,90,"",Инновационная пена Elax,Пух-перо,Фанера,Сталь,нет,нет,нет,1,Ортопедические свойства,2024-03-20 01:26:18.854 +0300,2024-04-04 12:58:57.662 +0300,marselle-cornerl-jazz-01,3,12,2,2,2,carousel/MARSELLE_CORNER_L_3M_ST_JAZZ_01_CARD_01.jpg,carousel/MARSELLE_CORNER_L_3M_ST_JAZZ_01_CARD_02.jpg,carousel/MARSELLE_CORNER_L_3M_ST_JAZZ_01_CARD_03.jpg,carousel/MARSELLE_CORNER_L_3M_ST_JAZZ_01_CARD_04.jpg,carousel/MARSELLE_CORNER_L_3M_ST_JAZZ_01_CARD_05.jpg,carousel/MARSELLE_CORNER_L_3M_ST_JAZZ_01_CARD_MOB_01.jpg,carousel/MARSELLE_CORNER_L_3M_ST_JAZZ_01_CARD_MOB_02.jpg,carousel/MARSELLE_CORNER_L_3M_ST_JAZZ_01_CARD_MOB_03.jpg,carousel/MARSELLE_CORNER_L_3M_ST_JAZZ_01_CARD_MOB_04.jpg,"",,carousel/MARSELLE_CORNER_L_3M_ST_JAZZ_01_CARD_02.jpg,"","",images/MARSELLE_CORNER_L_3M_ST_VELUTTO_32_GOODS_01.png,true,"",
71,Малый пуф Elementa,fabric_icons/CORSO_08.png,corso-08,fabric_icons/JAZZ_01.png,jazz-01,fabric_icons/KILIAN_01.png,kilian-01,fabric_icons/VELUTTO_32.png,velutto-32,fabric_icons/TEDDY_917.png,teddy-917,true,false,true,true,true,true,images/ELEMENTA_POUF_M_CORS0_08_GOODS_02.png,"Пуф Elementa дополняет модульную систему. Конструируйте пространство так, как вам хочется",10000,closeups/ELEMENTA_POUF_S_CORS0_08_CLOSEUP.jpg,10,10,10,pdf/ELEMENTA.pdf,Инновационная пена Elax,Пух-перо,Фанера,Сталь,нет,нет,нет,1,Ортопедические свойства,2024-03-14 23:56:18.854 +0300,2024-03-15 02:22:49.000 +0300,elementa-poufs-corso-08,9,3,8,2,2,carousel/ELEMENTA_POUF_S_CORS0_08_CARD_01.jpg,carousel/ELEMENTA_POUF_S_CORS0_08_CARD_02.jpg,"","","",carousel/ELEMENTA_POUF_S_CORS0_08_CARD_MOB_01.jpg,carousel/ELEMENTA_POUF_S_CORS0_08_CARD_MOB_02.jpg,"","","",,carousel/ELEMENTA_POUF_S_CORS0_08_CARD_01.jpg,"","",images/ELEMENTA_POUF_M_CORS0_08_GOODS_01.png,true,"",
36,Модульная система Consono,fabric_icons/CORSO_08.png,corso-08,fabric_icons/KILIAN_01.png,kilian-01,fabric_icons/PIXEL_FOREST.png,pixel-forest,fabric_icons/TEDDY_955.png,teddy-955,fabric_icons/VELUTTO_04.png,velutto-04,true,false,true,true,true,true,images/CONSONO_MOD_1_PIXEL_FOREST_GOODS_01.png,"Consono  — модульная система, представляющая собой идеальное сочетание комфорта, стиля и функциональности.
Одним из  главных преимуществ является использование пух-перо в качестве наполнителя подушек, что создает максимальную мягкость и удобство для отдыха.

В составе дивана применяется инновационный материал  Elax, который обладает высокой эластичностью. Благодаря этому материалу диван Consono не только комфортен, но и обладает долговечностью, сохраняя свою форму и внешний вид долгие годы.

Высокие, литые, металлические опоры придают изделию особую легкость и элегантность, создают современный и стильный вид, позволяют  использовать робот-пылесос.

Механизмы трансформации спинки позволяют каждому пользователю настроить диван под свои индивидуальные предпочтения.",234652,closeups/CONSONO_CORNER_ST_LEFT_PIXEL_FOREST_CLOSEUP.jpg,283,72,84,pdf/CONSONO.pdf,Инновационная пена Elax,Пух-перо,Фанера,Сталь,нет,нет,нет,2,"Изменяемая глубина посадки, ортопедические свойства",2024-01-24 00:22:49.000 +0300,2024-04-04 07:10:38.459 +0300,consono-mod1-pixel-forest,5,1,4,2,2,carousel/CONSONO_MOD_1_PIXEL_FOREST_CARD_01.jpg,carousel/CONSONO_MOD_1_PIXEL_FOREST_CARD_02.jpg,carousel/CONSONO_MOD_1_PIXEL_FOREST_CARD_03.jpg,carousel/CONSONO_MOD_1_PIXEL_FOREST_CARD_04.jpg,carousel/CONSONO_MOD_1_PIXEL_FOREST_CARD_05.jpg,carousel/CONSONO_MOD_1_PIXEL_FOREST_CARD_MOB_01.jpg,carousel/CONSONO_MOD_1_PIXEL_FOREST_CARD_MOB_02.jpg,carousel/CONSONO_MOD_1_PIXEL_FOREST_CARD_MOB_03.jpg,carousel/CONSONO_MOD_1_PIXEL_FOREST_CARD_MOB_04.jpg,carousel/CONSONO_MOD_1_PIXEL_FOREST_CARD_MOB_05.jpg,,popovers/CONSONO_ARM_VELUTTO_32_2_mob.jpg,"","",images/CONSONO_MOD_1_PIXEL_FOREST_GOODS_02.png,true,"3d/CONSONO_MOD_1_MAX2018.zip",
90,Подушка Esfera,"","","","","","","","","","",true,true,true,true,true,true,images/PILLOW_CANDY_PLOMBIR.png,Подушка необычной формы станет замечательным дополнением к диванам и модульным системам коллекций Consono и Elementa,10000,closeups/PILLOW_CANDY_PLOMBIR_closeup.jpg,47,47,47,"","",Пух-перо,нет,нет,нет,нет,нет,1,Ортопедические свойства,2024-03-15 18:56:18.854 +0300,2024-03-15 18:56:18.854 +0300,pillow-accessory-candy-plombir,8,10,13,,2,carousel/PILLOW_CANDY_PLOMBIR_1.jpg,carousel/PILLOW_CANDY_PLOMBIR_2.jpg,"","","",carousel/PILLOW_CANDY_PLOMBIR_1_mob.jpg,carousel/PILLOW_CANDY_PLOMBIR_2_mob.jpg,"","","",,"","","",images/PILLOW_CANDY_PLOMBIR_mob.png,false,"",
28,Кресло Consono,fabric_icons/CORSO_08.png,corso-08,fabric_icons/KILIAN_01.png,kilian-01,fabric_icons/PIXEL_FOREST.png,pixel-forest,fabric_icons/TEDDY_955.png,teddy-955,fabric_icons/VELUTTO_04.png,velutto-04,true,false,true,true,true,true,images/CONSONO_ARM_PIXEL_FOREST_GOODS_02.png,"Consono  — модульная система, представляющая собой идеальное сочетание комфорта, стиля и функциональности.
Одним из  главных преимуществ является использование пух-перо в качестве наполнителя подушек, что создает максимальную мягкость и удобство для отдыха.

В составе дивана применяется инновационный материал  Elax, который обладает высокой эластичностью. Благодаря этому материалу диван Consono не только комфортен, но и обладает долговечностью, сохраняя свою форму и внешний вид долгие годы.

Высокие, литые, металлические опоры придают изделию особую легкость и элегантность, создают современный и стильный вид, позволяют  использовать робот-пылесос.

Механизмы трансформации спинки позволяют каждому пользователю настроить диван под свои индивидуальные предпочтения.",145477,closeups/CONSONO_ARM_PIXEL_FOREST_CLOSEUP.jpg,108,110,81,pdf/CONSONO.pdf,Инновационная пена Elax,Пух-перо,Фанера,Сталь,нет,нет,нет,3,"Изменяемая глубина посадки, ортопедические свойства",2024-01-24 00:22:49.000 +0300,2024-04-10 17:11:30.359 +0300,consono-arm-pixel-forest,1,1,4,2,2,carousel/CONSONO_ARM_PIXEL_FOREST_CARD_01.jpg,carousel/CONSONO_ARM_PIXEL_FOREST_CARD_02.jpg,carousel/CONSONO_ARM_PIXEL_FOREST_CARD_03.jpg,carousel/CONSONO_ARM_PIXEL_FOREST_CARD_04.jpg,carousel/CONSONO_ARM_PIXEL_FOREST_CARD_05.jpg,carousel/CONSONO_ARM_PIXEL_FOREST_CARD_MOB_01.jpg,carousel/CONSONO_ARM_PIXEL_FOREST_CARD_MOB_02.jpg,carousel/CONSONO_ARM_PIXEL_FOREST_CARD_MOB_03.jpg,carousel/CONSONO_ARM_CORSO_PIXEL_FOREST_MOB_04.jpg,carousel/CONSONO_ARM_PIXEL_FOREST_CARD_MOB_05.jpg,,popovers/CONSONO_ARM_PIXEL_FOREST_CARD_02.jpg,"","",images/CONSONO_ARM_PIXEL_FOREST_GOODS_02.png,true,"3d/CONSONO_ARM_MAX2018.zip",
92,Подушка Sciurus,"","","","","","","","","","",true,true,true,true,true,true,images/PILLOW_SAHARA_026.png,Стильная подушка с кантом станет ярким акцентом в интерьере,10000,closeups/PILLOW_SAHARA_026_closeup.jpg,47,10,47,"","",Пух-перо,нет,нет,нет,нет,нет,1,Ортопедические свойства,2024-03-15 18:56:18.854 +0300,2024-03-15 18:56:18.854 +0300,pillow-accessory-sahara,8,10,14,,2,carousel/PILLOW_SAHARA_026_1.jpg,carousel/PILLOW_SAHARA_026_2.jpg,carousel/PILLOW_SAHARA_026_3.jpg,"","",carousel/PILLOW_SAHARA_026_1_mob.jpg,carousel/PILLOW_SAHARA_026_2_mob.jpg,carousel/PILLOW_SAHARA_026_3_mob.jpg,"","",,"","","",images/PILLOW_SAHARA_026_mob.png,false,"",
